model,threshold,side,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
elastic_net,1.5,over,3225,3194,1598,1596,31,0.5003130870381967,-0.023496436771327178,0.48298275266241886,0.517642669184617,-143.27272727272725,-0.04485683383617008,0.6049612403100775,2.963924104211098
elastic_net,1.5,under,1723,1693,892,801,30,0.5268753691671589,0.0030658453576350997,0.503058236667722,0.5505708115592899,9.909090909090922,0.005852977500939706,-0.3128264654672084,3.5036245872254637
elastic_net,2.5,over,1562,1545,760,785,17,0.4919093851132686,-0.03190013869625524,0.46703137272329576,0.5168275318929025,-94.0909090909091,-0.060900264783759935,0.2935339308578745,4.049678939882851
elastic_net,2.5,under,967,951,501,450,16,0.526813880126183,0.0030043563166591847,0.49503676849431044,0.5583752319882829,5.454545454545453,0.0057355893318038415,-0.21923474663908996,4.720211777740389
elastic_net,3.5,over,793,785,377,408,8,0.4802547770700637,-0.04355474673946014,0.44548559358554535,0.5152162760927272,-65.27272727272727,-0.08314997104806021,0.23833543505674654,5.14817678610515
elastic_net,3.5,under,520,509,271,238,11,0.5324165029469549,0.008606979137431026,0.4889893003127464,0.5753580537240556,8.363636363636365,0.016431505626004646,-0.19134615384615383,6.243748950899088
elastic_net,5.0,over,327,323,169,154,4,0.5232198142414861,-0.0005897095680377218,0.46879743737380597,0.5770963533798803,-0.36363636363635976,-0.001125809175344767,1.503058103975535,6.581060330557886
elastic_net,5.0,under,234,232,133,99,2,0.5732758620689655,0.04946633825944169,0.5089460092158621,0.6352185486908007,21.909090909090914,0.09443573667711601,-1.0876068376068375,8.853892710215053
extra_trees,1.5,over,2431,2410,1205,1205,21,0.5,-0.023809523809523836,0.4800532707898511,0.519946729210149,-109.54545454545456,-0.04545454545454546,0.6631016042780749,2.592355547976019
extra_trees,1.5,under,1055,1043,573,470,12,0.5493767976989453,0.025567273889421482,0.5190540645040314,0.5793371343172611,50.909090909090914,0.048810250152532035,-0.35402843601895734,2.3362675300908204
extra_trees,2.5,over,972,963,483,480,9,0.5015576323987538,-0.022251891410769997,0.4700343388235041,0.5330685479368503,-40.90909090909091,-0.04248088360237893,0.6440329218106996,3.5757274690458525
extra_trees,2.5,under,315,313,178,135,2,0.5686900958466453,0.04488057203712148,0.5133168709152508,0.6223976312208322,26.81818181818182,0.08568109207086844,-0.3984126984126984,3.258414800288203
extra_trees,3.5,over,395,394,191,203,1,0.4847715736040609,-0.03903795020546291,0.43580845483229336,0.5340287869242248,-29.36363636363636,-0.07452699584679279,0.5582278481012658,4.504451242704747
extra_trees,3.5,under,95,95,57,38,0,0.6,0.07619047619047614,0.49945418140451453,0.6927725733222401,13.818181818181813,0.1454545454545454,-0.7210526315789474,4.133405351196034
extra_trees,5.0,over,100,100,55,45,0,0.55,0.02619047619047621,0.4524442703164344,0.6438562489359654,5.0,0.05,1.945,5.812892884363392
extra_trees,5.0,under,8,8,5,3,0,0.625,0.10119047619047616,0.30573785458380187,0.863158240538479,1.5454545454545452,0.19318181818181815,1.9375,5.762915423359886
hist_gradient_boosting,1.5,over,3361,3313,1662,1651,48,0.5016601267733173,-0.022149397036206553,0.4846420534703034,0.5186743545245794,-140.09090909090907,-0.04228521252366709,0.8171675096697412,3.906783019465729
hist_gradient_boosting,1.5,under,2486,2459,1278,1181,27,0.5197234648230988,-0.004086058986425001,0.4999607406174833,0.5394246587520906,-19.18181818181818,-0.0078006580649931595,-0.02011263073209976,4.096079092869117
hist_gradient_boosting,2.5,over,2313,2280,1146,1134,33,0.5026315789473684,-0.021177944862155407,0.4821208630857367,0.5231334417662287,-92.18181818181816,-0.040430622009569366,0.8904020752269779,4.787423788142381
hist_gradient_boosting,2.5,under,1783,1760,943,817,23,0.5357954545454545,0.011985930735930683,0.5124428555854973,0.5589921304132454,40.27272727272728,0.02288223140495868,-0.6076836791923724,4.9273239581539245
hist_gradient_boosting,3.5,over,1554,1537,797,740,17,0.5185426154847105,-0.0052669083248133575,0.4935476249376215,0.5434451457663886,-15.454545454545446,-0.01005500680191636,1.0447232947232947,5.669189888463904
