filter_name,category,description,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,target_roi_10pct_gap,recent_2022_plus_graded,recent_2022_plus_roi,season_count,positive_seasons,losing_seasons,positive_season_rate,max_drawdown_units,avg_closing_total,avg_hgb_abs_edge,avg_market_residual,line_movement_clv_proxy_note,overfit_flags,shortlist_candidate,score
hgb_under_3p5_combo_wind_ge_12_rain_flag,weather_combo_grid,HGB under 3.5+ with wind >= 12 mph and rain/thunder text or precip amount.,55,55,42,13,0,0.7636363636363637,0.23982683982683983,0.6365138127856039,0.8563347841254251,25.181818181818183,0.45785123966942154,0.35785123966942156,16,0.3125,10,8,2,0.8,-3.2727272727272725,54.554545454545455,6.776072999716879,-5.790909090909091,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,83.23057851239669
hgb_under_3p5_combo_high_pass_rate_humid_ge_80,weather_team_style_grid,HGB under 3.5+ with top 30% pass-rate proxy and humidity >= 80%.,70,70,44,26,0,0.6285714285714286,0.10476190476190472,0.5114698481852806,0.7322951839917036,13.999999999999995,0.19999999999999993,0.09999999999999992,14,0.6363636363636364,10,7,3,0.7,-6.090909090909091,58.48571428571429,6.1289061038988315,-5.242857142857143,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample",False,81.5909090909091
hgb_under_3p5_combo_total_60_63_wind_ge_10,weather_total_combo_grid,HGB under 3.5+ with total 60-63 and wind >= 10 mph.,60,59,41,18,1,0.6949152542372882,0.17110573042776434,0.5685343274025617,0.7974652652239788,19.272727272727273,0.32665639445300465,0.22665639445300464,15,0.39999999999999997,10,7,3,0.7,-4.0,61.325,5.857886888892761,-5.241666666666666,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,75.54563944530047
hgb_under_3p5_combo_high_pass_rate_total_60_63_cold_le_50,weather_team_style_total_grid,"HGB under 3.5+ with top 30% pass-rate proxy, total 60-63, and temp <= 50F.",5,4,2,2,1,0.5,-0.023809523809523836,0.15003570882017148,0.8499642911798285,-0.18181818181818177,-0.04545454545454544,-0.14545454545454545,1,0.9090909090909091,5,2,2,0.4,-2.0,61.7,5.2722954336419035,-2.9,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,weak_season_stability",False,73.86181818181817
hgb_under_3p5_combo_wind_ge_12_precip_any,weather_combo_grid,HGB under 3.5+ with wind >= 12 mph and any precipitation flag.,56,56,42,14,0,0.75,0.22619047619047616,0.6230710799856808,0.8448308477702616,24.18181818181818,0.43181818181818177,0.3318181818181818,17,0.23529411764705882,10,7,3,0.7,-3.2727272727272725,54.357142857142854,6.742871580325516,-5.678571428571429,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,72.97080213903743
hgb_under_3p5_combo_total_60_63_cold_le_45,weather_total_combo_grid,HGB under 3.5+ with total 60-63 and temp <= 45F.,16,15,9,6,1,0.6,0.07619047619047614,0.357464427565077,0.8017577191740534,2.1818181818181817,0.14545454545454545,0.04545454545454544,7,0.6363636363636364,8,4,4,0.5,-4.0,61.625,4.958800997090435,-7.5625,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,weak_season_stability",False,72.45454545454545
hgb_under_3p5_combo_total_ge_60_wind_ge_15,weather_total_combo_grid,HGB under 3.5+ with total >= 60 and wind >= 15 mph.,50,49,28,21,1,0.5714285714285714,0.04761904761904756,0.4327024751701555,0.6997689110104294,4.454545454545454,0.0909090909090909,-0.009090909090909108,10,0.7181818181818181,9,4,5,0.4444444444444444,-10.363636363636363,65.36,6.2850636566903395,-1.48,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,weak_season_stability",False,72.11939393939394
hgb_under_3p5_combo_high_pass_rate_total_ge_60_cold_le_50,weather_team_style_total_grid,"HGB under 3.5+ with top 30% pass-rate proxy, total >= 60, and temp <= 50F.",22,21,10,11,1,0.47619047619047616,-0.04761904761904767,0.28343712296762946,0.6763078209973324,-1.9090909090909092,-0.09090909090909091,-0.19090909090909092,4,0.9090909090909091,8,4,4,0.5,-7.272727272727273,67.43181818181819,6.053150573634718,0.022727272727272728,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,weak_season_stability",False,70.10181818181817
hgb_under_3p5_combo_total_60_63_cold_le_55,weather_total_combo_grid,HGB under 3.5+ with total 60-63 and temp <= 55F.,40,39,25,14,1,0.6410256410256411,0.11721611721611724,0.484178631846895,0.772581153035089,8.727272727272727,0.22377622377622375,0.12377622377622374,12,0.4318181818181818,10,6,4,0.6,-4.454545454545454,61.55,5.62878221223041,-4.5,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,65.81216783216783
hgb_under_3p5_combo_total_60_63_humid_ge_80,weather_total_combo_grid,HGB under 3.5+ with total 60-63 and humidity >= 80%.,33,33,22,11,0,0.6666666666666666,0.1428571428571428,0.4960758179994997,0.8024997053219629,8.999999999999998,0.27272727272727265,0.17272727272727265,10,0.3363636363636363,8,6,2,0.75,-5.0,61.45454545454545,6.468675250830453,-4.696969696969697,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,65.09181818181817
hgb_under_3p5_combo_total_ge_60_humid_ge_80,weather_total_combo_grid,HGB under 3.5+ with total >= 60 and humidity >= 80%.,108,107,68,39,1,0.6355140186915887,0.11170449488206491,0.5410943693834448,0.7205402515530989,22.81818181818182,0.21325403568394224,0.11325403568394224,28,0.3636363636363635,10,9,1,0.9,-6.090909090909091,66.37962962962963,6.426270233607882,-2.6666666666666665,true current-to-close CLV not available in historical file,"thin_recent_sample,high_roi_thin_sample",True,64.83813084112148
hgb_under_3p5_combo_total_ge_56_humid_ge_80,weather_total_combo_grid,HGB under 3.5+ with total >= 56 and humidity >= 80%.,145,144,88,56,1,0.6111111111111112,0.08730158730158732,0.5295875556674611,0.6868603182732972,24.0,0.16666666666666666,0.06666666666666665,36,0.4318181818181817,10,8,2,0.8,-8.181818181818182,64.17241379310344,6.413635788539533,-2.1862068965517243,true current-to-close CLV not available in historical file,none,True,64.45575757575756
hgb_under_3p5_combo_total_ge_58_humid_ge_80,weather_total_combo_grid,HGB under 3.5+ with total >= 58 and humidity >= 80%.,125,124,76,48,1,0.6129032258064516,0.08909370199692779,0.5250067645169081,0.6940142740182793,21.090909090909097,0.17008797653958949,0.07008797653958948,33,0.4462809917355371,10,7,3,0.7,-6.909090909090908,65.352,6.435071373765743,-2.176,true current-to-close CLV not available in historical file,none,True,64.30945881098374
hgb_under_3p5_combo_cold_le_50_wind_ge_12_precip_any,weather_combo_grid,"HGB under 3.5+ with temp <= 50F, wind >= 12 mph, and any precipitation flag.",10,10,8,2,0,0.8,0.2761904761904762,0.49015684672072335,0.9433190520193067,5.2727272727272725,0.5272727272727272,0.42727272727272725,2,-0.04545454545454547,7,6,1,0.8571428571428571,-1.0,52.55,6.021054459240506,-9.15,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,negative_recent_roi,high_roi_thin_sample",False,61.94805194805193
hgb_under_3p5_combo_total_60_63_cold_le_40,weather_total_combo_grid,HGB under 3.5+ with total 60-63 and temp <= 40F.,7,7,3,4,0,0.42857142857142855,-0.09523809523809529,0.15821692226262685,0.7495457695909742,-1.2727272727272725,-0.1818181818181818,-0.2818181818181818,2,0.9090909090909091,7,3,4,0.42857142857142855,-3.090909090909091,61.07142857142857,5.04680421879497,-5.785714285714286,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,weak_season_stability",False,60.49584415584415
hgb_under_3p5_combo_total_ge_56_cold_le_55,weather_total_combo_grid,HGB under 3.5+ with total >= 56 and temp <= 55F.,197,194,112,82,3,0.5773195876288659,0.05351006381934209,0.5069665178813615,0.6446699428023369,19.818181818181817,0.1021555763823805,0.0021555763823804946,42,0.4545454545454546,10,7,3,0.7,-11.272727272727273,63.58629441624365,6.179074977808384,-0.3934010152284264,true current-to-close CLV not available in historical file,none,True,58.70464854732896
hgb_under_3p5_combo_total_ge_60_wind_ge_12,weather_total_combo_grid,HGB under 3.5+ with total >= 60 and wind >= 12 mph.,120,118,73,45,2,0.6186440677966102,0.09483454398708635,0.5285752066363015,0.7012313618920173,21.363636363636363,0.1810477657935285,0.08104776579352849,31,0.3548387096774193,10,6,4,0.6,-9.272727272727273,65.7125,6.536448175175622,-1.6791666666666667,true current-to-close CLV not available in historical file,none,True,55.99732789900094
hgb_under_3p5_combo_total_ge_56_cold_le_45,weather_total_combo_grid,HGB under 3.5+ with total >= 56 and temp <= 45F.,91,89,49,40,2,0.550561797752809,0.026752273943285165,0.4472614742822269,0.6496778287888101,4.545454545454546,0.05107252298263534,-0.04892747701736466,22,0.4752066115702478,10,7,3,0.7,-9.09090909090909,63.11538461538461,6.2000241772907865,-1.1813186813186813,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample",False,53.58559940570154
hgb_under_3p5_combo_heat_ge_85_humid_ge_70_total_ge_56,weather_combo_grid,"HGB under 3.5+ with temp >= 85F, humidity >= 70%, and total >= 56.",4,4,3,1,0,0.75,0.22619047619047616,0.3006360524426366,0.9544139373553637,1.727272727272727,0.43181818181818177,0.3318181818181818,0,,3,2,1,0.6666666666666666,-1.0,67.625,6.042886185250083,-8.875,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,53.061818181818175
hgb_under_3p5_high_total_cold50,weather_total_combo,"HGB under 3.5+, total 56+, temp <= 50F.",138,135,75,60,3,0.5555555555555556,0.031746031746031744,0.47134917126965303,0.6366876130946874,8.181818181818183,0.060606060606060615,-0.03939393939393939,28,0.43181818181818166,10,7,3,0.7,-10.545454545454545,63.23550724637681,6.118412842579252,0.4166666666666667,true current-to-close CLV not available in historical file,thin_recent_sample,True,51.69696969696969
hgb_under_3p5_combo_total_ge_56_cold_le_50,weather_total_combo_grid,HGB under 3.5+ with total >= 56 and temp <= 50F.,138,135,75,60,3,0.5555555555555556,0.031746031746031744,0.47134917126965303,0.6366876130946874,8.181818181818183,0.060606060606060615,-0.03939393939393939,28,0.43181818181818166,10,7,3,0.7,-10.545454545454545,63.23550724637681,6.118412842579252,0.4166666666666667,true current-to-close CLV not available in historical file,thin_recent_sample,True,51.69696969696969
hgb_under_3p5_combo_high_pass_rate_dewpoint_ge_70,weather_team_style_grid,HGB under 3.5+ with top 30% pass-rate proxy and dewpoint >= 70F.,25,25,15,10,0,0.6,0.07619047619047614,0.40739127785127344,0.7659694233580909,3.6363636363636362,0.14545454545454545,0.04545454545454544,7,0.36363636363636365,8,4,4,0.5,-4.090909090909091,56.74,6.752811280421291,-2.78,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,weak_season_stability",False,50.81818181818182
hgb_under_3p5_combo_total_ge_58_cold_le_55,weather_total_combo_grid,HGB under 3.5+ with total >= 58 and temp <= 55F.,161,159,91,68,2,0.5723270440251572,0.04851752021563338,0.4946125003705697,0.6466290497001741,14.727272727272727,0.09262435677530016,-0.007375643224699843,38,0.4066985645933013,10,5,5,0.5,-10.363636363636363,65.08385093167702,6.267789928279183,-0.8850931677018633,true current-to-close CLV not available in historical file,weak_season_stability,False,50.405593572266845
