name,side,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,median_market_residual,model,model_type,threshold,avg_abs_model_edge,test_seasons
ridge,model,6426,6353,3231,3122,73,0.5085786242719975,-0.015230899537526321,0.49628373414778476,0.5208631458373955,-184.72727272727272,-0.029077171844368442,0.4056178026766262,-0.5,ridge,regression,1.5,3.832666847005504,2016-2025
ridge,model,4321,4267,2173,2094,54,0.5092570892898992,-0.014552434519624624,0.49425554080513606,0.5242419843664835,-118.54545454545456,-0.027781920446556026,0.49699143716732236,0.0,ridge,regression,2.5,4.736512757797431,2016-2025
ridge,model,2745,2709,1367,1342,36,0.5046142488002953,-0.019195275009228574,0.4857930973337748,0.5234223319784267,-99.27272727272725,-0.03664552501761803,0.5794171220400729,0.0,ridge,regression,3.5,5.737766835526586,2016-2025
ridge,model,1355,1339,674,665,16,0.5033607169529499,-0.02044880685657391,0.47660848590151494,0.5300937193325201,-52.27272727272726,-0.03903863127164097,0.15018450184501844,-1.0,ridge,regression,5.0,7.342124767151137,2016-2025
elastic_net,model,4948,4887,2490,2397,61,0.5095150399017803,-0.014294483907743571,0.4954969999604045,0.5235181323227592,-133.36363636363632,-0.027289469278419545,0.2853678253839935,-0.5,elastic_net,regression,1.5,3.151859417920425,2016-2025
elastic_net,model,2529,2496,1261,1235,33,0.5052083333333334,-0.018601190476190466,0.48560077033170373,0.5247998886540498,-88.63636363636361,-0.035511363636363626,0.09746935547647291,-0.5,elastic_net,regression,2.5,4.306066940756018,2016-2025
elastic_net,model,1313,1294,648,646,19,0.500772797527048,-0.023036726282475883,0.4735676408591387,0.5279733792468588,-56.909090909090914,-0.04397920472109035,0.06816450875856817,-1.0,elastic_net,regression,3.5,5.582066752360174,2016-2025
elastic_net,model,561,555,302,253,6,0.5441441441441441,0.0203346203346203,0.5025460001648459,0.5851353750226849,21.54545454545454,0.03882063882063881,0.42245989304812837,-1.0,elastic_net,regression,5.0,7.529086670735739,2016-2025
random_forest,model,3514,3478,1759,1719,36,0.5057504312823462,-0.018059092527177634,0.4891370219578751,0.522351151427152,-119.90909090909089,-0.03447644937006639,-0.025327262379055207,-1.5,random_forest,regression,1.5,2.5490619358148243,2016-2025
random_forest,model,1382,1372,697,675,10,0.5080174927113703,-0.015792031098153525,0.4815779435861496,0.5344122692406759,-41.363636363636346,-0.03014842300556585,-0.09949348769898697,-1.5,random_forest,regression,2.5,3.5210884168094787,2016-2025
random_forest,model,525,521,269,252,4,0.5163147792706334,-0.00749474453889043,0.4734408138102234,0.558949911315224,-7.454545454545449,-0.014308148665154412,0.40285714285714286,-0.5,random_forest,regression,3.5,4.506620717508373,2016-2025
random_forest,model,131,131,68,63,0,0.5190839694656488,-0.004725554343875005,0.4342055182212027,0.6028750266551558,-1.1818181818181825,-0.009021512838306737,1.5801526717557253,-0.5,random_forest,regression,5.0,5.765105587889841,2016-2025
extra_trees,model,3486,3453,1778,1675,33,0.5149145670431509,-0.008894956766372974,0.4982372921369913,0.531558692729657,-58.63636363636362,-0.016981281099439218,0.3552782558806655,-0.5,extra_trees,regression,1.5,2.5148532935672745,2016-2025
extra_trees,model,1287,1276,661,615,11,0.518025078369906,-0.005784445439617869,0.4905951989821713,0.545346748833871,-14.090909090909072,-0.011043032202906797,0.3888888888888889,-0.5,extra_trees,regression,2.5,3.498063529140133,2016-2025
extra_trees,model,490,489,248,241,1,0.5071574642126789,-0.016652059596844904,0.4629620886598849,0.5512412578108676,-15.545454545454545,-0.03179029559397657,0.31020408163265306,-1.5,extra_trees,regression,3.5,4.432513773942854,2016-2025
extra_trees,model,108,108,60,48,0,0.5555555555555556,0.031746031746031744,0.4615344791712405,0.645760123194963,6.545454545454546,0.06060606060606061,1.9444444444444444,1.75,extra_trees,regression,5.0,5.809190850214985,2016-2025
hist_gradient_boosting,model,5847,5772,2940,2832,75,0.5093555093555093,-0.014454014454014508,0.49645662917182243,0.5222419445563766,-159.27272727272725,-0.02759402759402759,0.461176671797503,-0.5,hist_gradient_boosting,regression,1.5,3.987267034940473,2016-2025
hist_gradient_boosting,model,4096,4040,2089,1951,56,0.5170792079207921,-0.006730315888731742,0.5016610319994079,0.5324649337654233,-51.90909090909087,-0.01284878487848784,0.23828125,-0.5,hist_gradient_boosting,regression,2.5,4.848322714687933,2016-2025
hist_gradient_boosting,model,2778,2744,1469,1275,34,0.5353498542274052,0.011540330417881384,0.5166519453121213,0.5539489219285522,60.45454545454545,0.022031539888682745,0.10943124550035997,-0.5,hist_gradient_boosting,regression,3.5,5.737246980411273,2016-2025
hist_gradient_boosting,model,1525,1506,817,689,19,0.5424966799468791,0.018687156137355276,0.5172586927644548,0.5675184123305431,53.72727272727273,0.03567547989858747,0.44163934426229506,-0.5,hist_gradient_boosting,regression,5.0,7.031199538158408,2016-2025
logistic_over_prob,model,7432,7432,3828,3604,0,0.515069967707212,-0.008739556102311807,0.5037025631255886,0.5264218010082574,-123.99999999999997,-0.016684607104413343,0.46017222820236814,-0.5,logistic_over_prob,classifier,0.535,0.10975801250865495,2016-2025
logistic_over_prob,model,6312,6312,3229,3083,0,0.5115652724968315,-0.012244251312692356,0.4992301897878689,0.523886286090817,-147.54545454545448,-0.023375388869685435,0.42664765525982257,-0.5,logistic_over_prob,classifier,0.55,0.12172431573843896,2016-2025
logistic_over_prob,model,5301,5301,2705,2596,0,0.5102810790416903,-0.013528444767833547,0.4968212855421538,0.5237259820708886,-136.90909090909088,-0.025827030920409524,0.5355593284285983,-0.5,logistic_over_prob,classifier,0.565,0.13397809023119303,2016-2025
logistic_over_prob,model,4382,4382,2239,2143,0,0.5109539023277042,-0.012855621481819623,0.4961499726352463,0.5257386427675534,-107.54545454545453,-0.02454255010165553,0.512779552715655,-0.5,logistic_over_prob,classifier,0.58,0.14689443116040066,2016-2025
