season,games,graded,wins,losses,pushes,hit_rate,roi_per_1u
2023,14,14,7,7,0,0.5,-0.04545454545454548
2024,22,22,11,11,0,0.5,-0.045454545454545456
2025,20,20,12,8,0,0.6,0.14545454545454542
