grouping,wind_bin,games,avg_closing_total,avg_actual_total,avg_market_residual,under_rate,over_rate,temp_bin
wind_bin,20+,241,53.14107883817427,52.97925311203319,-0.16182572614107885,0.5394190871369294,0.44398340248962653,
wind_bin,10-15,2645,54.245557655954634,54.212476370510394,-0.0330812854442344,0.5334593572778829,0.45406427221172024,
wind_bin,0-5,3505,55.218972895863054,55.663908701854496,0.4449358059914408,0.4927246790299572,0.4961483594864479,
wind_bin,15-20,618,53.63673139158576,54.284789644012946,0.6480582524271845,0.5,0.4935275080906149,
wind_bin,5-10,4523,54.615852310413445,55.36502321468052,0.7491709042670793,0.4952465177979217,0.4961308865797037,
temp_bin,,312,52.40064102564103,52.18910256410256,-0.21153846153846154,0.5032051282051282,0.4775641025641026,<=35
temp_bin,,1090,55.95045871559633,56.22752293577982,0.27706422018348625,0.5055045871559632,0.4834862385321101,85+
temp_bin,,4461,54.37760591795561,54.717552118359116,0.339946200403497,0.5093028468953149,0.4799372338040798,50-70
temp_bin,,1481,53.87677245104659,54.39770425388251,0.5209318028359217,0.5104659014179609,0.47805536799459825,35-50
temp_bin,,4188,54.99021012416428,55.63443170964661,0.6442215854823304,0.4968958930276982,0.49450811843361986,70-85
