model,threshold,season,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
elastic_net,1.5,2016,522,514,245,269,8,0.4766536964980545,-0.047155827311469334,0.43380820018132554,0.5198455812066511,-46.272727272727266,-0.0900247612309869,0.28160919540229884,4.766232365659449
elastic_net,1.5,2017,498,493,238,255,5,0.4827586206896552,-0.04105090311986864,0.4389518618233582,0.5268320016856556,-38.63636363636363,-0.07836990595611285,-0.5732931726907631,3.715924324273608
elastic_net,1.5,2018,487,483,248,235,4,0.5134575569358178,-0.010351966873705987,0.4689520661556557,0.5577506642601511,-9.545454545454549,-0.01976284584980238,0.6293634496919918,3.3407264505002683
elastic_net,1.5,2019,467,460,241,219,7,0.5239130434782608,0.00010351966873700658,0.47826350566153825,0.569166479057383,0.09090909090909349,0.00019762845849802932,-0.20556745182012848,3.0793394508495466
elastic_net,1.5,2020,324,319,148,171,5,0.46394984326018807,-0.05985968054933577,0.4099770426322721,0.5187805895935624,-36.45454545454545,-0.11427757195782273,0.32407407407407407,3.1797478912214014
elastic_net,1.5,2021,471,466,232,234,5,0.4978540772532189,-0.02595544655630494,0.4526603876331964,0.5430828586012791,-23.090909090909086,-0.04955130706203666,-0.03821656050955414,3.0713167212444445
elastic_net,1.5,2022,504,496,266,230,8,0.5362903225806451,0.012480798771121293,0.4922922523116714,0.5797305645166998,11.818181818181817,0.02382697947214076,0.43253968253968256,2.5603093023756847
elastic_net,1.5,2023,625,617,330,287,8,0.5348460291734197,0.011036505363895888,0.49539438852008333,0.5738664342082904,13.000000000000007,0.021069692058346853,1.0432,2.3497486802852294
elastic_net,1.5,2024,517,506,265,241,11,0.5237154150197628,-9.4108789761016e-05,0.4801833314824795,0.5668901125048293,-0.09090909090908816,-0.00017966223499819796,0.9584139264990329,2.285815272269271
elastic_net,1.5,2025,533,533,277,256,0,0.5196998123827392,-0.0041097114267846235,0.4772950884691532,0.561822595406314,-4.181818181818187,-0.007845812723861515,-0.21106941838649157,3.3289449995623386
elastic_net,2.5,2016,396,390,189,201,6,0.4846153846153846,-0.03919413919413922,0.4354069879810899,0.5341239097199146,-29.18181818181818,-0.07482517482517483,0.6073232323232324,5.658461224143155
elastic_net,2.5,2017,333,329,155,174,4,0.47112462006079026,-0.05268490374873358,0.41783006360800257,0.5250857257644795,-33.090909090909086,-0.10058027079303673,-0.44894894894894893,4.556247637464607
elastic_net,2.5,2018,308,305,150,155,3,0.4918032786885246,-0.032006245120999255,0.43614808903744906,0.5476623820907927,-18.636363636363633,-0.061102831594634865,0.45616883116883117,4.135003835242882
elastic_net,2.5,2019,269,264,129,135,5,0.48863636363636365,-0.03517316017316019,0.42893386881008644,0.5486648313171529,-17.727272727272727,-0.06714876033057851,-0.4516728624535316,3.870126294800601
elastic_net,2.5,2020,191,187,91,96,4,0.48663101604278075,-0.037178507766743085,0.41598524950115756,0.5578150120770308,-13.272727272727273,-0.07097715119105494,0.19633507853403143,4.031693832964865
elastic_net,2.5,2021,281,280,139,141,1,0.49642857142857144,-0.027380952380952395,0.43830984691427904,0.5546439695805547,-14.636363636363637,-0.052272727272727276,-0.06761565836298933,3.8327597218649574
elastic_net,2.5,2022,195,192,104,88,3,0.5416666666666666,0.017857142857142794,0.4710598278856616,0.6106388510466999,6.545454545454543,0.03409090909090908,-0.617948717948718,3.5503948549554294
elastic_net,2.5,2023,208,206,113,93,2,0.5485436893203883,0.024734165510864492,0.4803167816218965,0.6149932045772175,9.727272727272728,0.0472197705207414,0.7211538461538461,3.153348450077225
elastic_net,2.5,2024,151,146,89,57,5,0.6095890410958904,0.08577951728636657,0.5286166090315858,0.6849422424489109,23.909090909090907,0.16376089663760895,1.6423841059602649,3.1988771434764627
