name,side,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,median_market_residual
cold_40_wind_12_under,under,132,128,81,47,4,0.6328125,0.10900297619047616,0.546568431638715,0.7113167882008501,26.636363636363633,0.20809659090909088,-3.757575757575758,-5.75
outdoor_wind_20_under,under,222,219,121,98,3,0.5525114155251142,0.028701891715590344,0.4863139649508238,0.6168983616524676,11.999999999999996,0.05479452054794519,-0.27927927927927926,-1.5
precip_any_under,under,920,910,488,422,10,0.5362637362637362,0.01245421245421241,0.5037779799880148,0.5684446021312496,21.636363636363647,0.02377622377622379,-0.13260869565217392,-1.5
outdoor_wind_15_under,under,979,970,517,453,9,0.5329896907216495,0.009180166912125642,0.5015239332187559,0.5641951734614269,16.999999999999996,0.017525773195876285,0.1128702757916241,-1.5
outdoor_wind_15_total_49plus_under,under,679,673,354,319,6,0.5260029717682021,0.002193447958678263,0.4882372030279095,0.5634735665228984,2.8181818181818192,0.0041874915574767,0.2665684830633284,-1.5
cold_35_under,under,282,277,140,137,5,0.5054151624548736,-0.018394361354650224,0.4468660887504725,0.5638160893883786,-9.727272727272732,-0.035116508040695785,-0.11347517730496454,0.0
calm_mild_over,over,2098,2072,1014,1058,26,0.4893822393822394,-0.03442728442728443,0.46789729684322734,0.5109064808631255,-136.1818181818182,-0.06572481572481573,-0.09389895138226882,-0.5
indoor_over,over,395,392,178,214,3,0.45408163265306123,-0.0697278911564626,0.4054766908117524,0.503577840091518,-52.18181818181818,-0.1331168831168831,-0.19873417721518988,-2.0
snow_any_under,under,1,1,0,1,0,0.0,-0.5238095238095238,0.0,0.7934567085261071,-1.0,-1.0,23.5,23.5
