filter_name,category,season,graded,wins,losses,hit_rate,net_units_1u_each,roi_per_1u
hgb_under_3p5_baseline,baseline,2016,148,70,78,0.47297297297297297,-14.363636363636365,-0.09705159705159706
hgb_under_3p5_baseline,baseline,2017,171,96,75,0.5614035087719298,12.272727272727275,0.07177033492822968
hgb_under_3p5_baseline,baseline,2018,193,108,85,0.5595854922279793,13.18181818181818,0.06829957607159678
hgb_under_3p5_baseline,baseline,2019,107,58,49,0.5420560747663551,3.7272727272727275,0.034834324553950725
hgb_under_3p5_baseline,baseline,2020,86,41,45,0.47674418604651164,-7.7272727272727275,-0.08985200845665962
hgb_under_3p5_baseline,baseline,2021,305,164,141,0.5377049180327869,8.090909090909092,0.026527570789865874
hgb_under_3p5_baseline,baseline,2022,137,74,63,0.5401459854014599,4.272727272727272,0.031187790311877895
hgb_under_3p5_baseline,baseline,2023,103,58,45,0.5631067961165048,7.727272727272727,0.07502206531332745
hgb_under_3p5_baseline,baseline,2024,68,37,31,0.5441176470588235,2.636363636363636,0.03877005347593582
hgb_under_5p0_baseline,baseline,2016,87,44,43,0.5057471264367817,-2.999999999999999,-0.03448275862068965
hgb_under_5p0_baseline,baseline,2017,102,56,46,0.5490196078431373,4.909090909090909,0.0481283422459893
hgb_under_5p0_baseline,baseline,2018,125,68,57,0.544,4.818181818181821,0.03854545454545457
hgb_under_5p0_baseline,baseline,2019,57,27,30,0.47368421052631576,-5.454545454545454,-0.09569377990430622
hgb_under_5p0_baseline,baseline,2020,43,19,24,0.4418604651162791,-6.727272727272727,-0.15644820295983086
hgb_under_5p0_baseline,baseline,2021,195,115,80,0.5897435897435898,24.545454545454543,0.12587412587412586
hgb_under_5p0_baseline,baseline,2022,65,37,28,0.5692307692307692,5.636363636363635,0.0867132867132867
hgb_under_5p0_baseline,baseline,2023,42,27,15,0.6428571428571429,9.545454545454545,0.22727272727272727
hgb_under_5p0_baseline,baseline,2024,36,21,15,0.5833333333333334,4.090909090909091,0.11363636363636363
hgb_under_3p5_total_ge_52,high_total_bucket,2016,118,55,63,0.4661016949152542,-12.999999999999998,-0.11016949152542371
hgb_under_3p5_total_ge_52,high_total_bucket,2017,121,67,54,0.5537190082644629,6.909090909090909,0.05709992486851991
hgb_under_3p5_total_ge_52,high_total_bucket,2018,149,79,70,0.5302013422818792,1.8181818181818206,0.012202562538133024
hgb_under_3p5_total_ge_52,high_total_bucket,2019,77,44,33,0.5714285714285714,6.999999999999999,0.0909090909090909
hgb_under_3p5_total_ge_52,high_total_bucket,2020,71,35,36,0.49295774647887325,-4.181818181818181,-0.05889884763124198
hgb_under_3p5_total_ge_52,high_total_bucket,2021,224,124,100,0.5535714285714286,12.727272727272728,0.05681818181818182
hgb_under_3p5_total_ge_52,high_total_bucket,2022,105,54,51,0.5142857142857142,-1.9090909090909092,-0.01818181818181818
hgb_under_3p5_total_ge_52,high_total_bucket,2023,63,41,22,0.6507936507936508,15.27272727272727,0.24242424242424238
hgb_under_3p5_total_ge_52,high_total_bucket,2024,48,27,21,0.5625,3.545454545454545,0.07386363636363635
hgb_under_3p5_total_ge_56,high_total_bucket,2016,94,45,49,0.4787234042553192,-8.09090909090909,-0.08607350096711798
hgb_under_3p5_total_ge_56,high_total_bucket,2017,99,55,44,0.5555555555555556,6.0,0.06060606060606061
hgb_under_3p5_total_ge_56,high_total_bucket,2018,122,65,57,0.5327868852459017,2.090909090909093,0.01713859910581224
hgb_under_3p5_total_ge_56,high_total_bucket,2019,63,35,28,0.5555555555555556,3.8181818181818175,0.060606060606060594
