grouping,value,games,avg_total,avg_actual,avg_residual,under_rate,over_rate
game_indoors_bool,True,395,55.811392405063295,55.6126582278481,-0.19873417721518988,0.5417721518987342,0.4506329113924051
game_indoors_bool,False,11362,54.5541277944024,55.0151381798979,0.4610103854955114,0.5035205069530012,0.4859179721879951
precip_flag,True,939,53.4419595314164,53.398296059637914,-0.043663471778487756,0.5282215122470714,0.46006389776357826
precip_flag,False,10818,54.69657053059715,55.177297097430205,0.48072656683305603,0.5027731558513588,0.4868737289702348
snow_flag,False,11756,54.595780877849606,55.0326641714869,0.4368832936372916,0.5048485879550868,0.4846886696155155
temp_bin,<=35,312,52.40064102564103,52.18910256410256,-0.21153846153846154,0.5032051282051282,0.4775641025641026
temp_bin,85+,1090,55.95045871559633,56.22752293577982,0.27706422018348625,0.5055045871559632,0.4834862385321101
temp_bin,50-70,4461,54.37760591795561,54.717552118359116,0.339946200403497,0.5093028468953149,0.4799372338040798
temp_bin,35-50,1481,53.87677245104659,54.39770425388251,0.5209318028359217,0.5104659014179609,0.47805536799459825
temp_bin,70-85,4188,54.99021012416428,55.63443170964661,0.6442215854823304,0.4968958930276982,0.49450811843361986
total_bin,63+,1659,67.88667872212176,67.2959614225437,-0.5907172995780591,0.5298372513562387,0.4605183845690175
total_bin,56-63,2961,59.24248564674097,59.16953731847349,-0.0729483282674772,0.5119891928402567,0.4745018574805809
total_bin,49-56,4131,52.77826192205277,53.52844347615589,0.7501815541031227,0.5010893246187363,0.4914064391188574
total_bin,42-49,2531,46.28605294350059,47.2398261556697,0.9537732121691032,0.49466613986566577,0.4954563413670486
total_bin,<=42,475,39.30842105263158,41.08210526315789,1.7736842105263158,0.4589473684210526,0.5178947368421053
wind_bin,20+,241,53.14107883817427,52.97925311203319,-0.16182572614107885,0.5394190871369294,0.44398340248962653
wind_bin,10-15,2645,54.245557655954634,54.212476370510394,-0.0330812854442344,0.5334593572778829,0.45406427221172024
wind_bin,0-5,3505,55.218972895863054,55.663908701854496,0.4449358059914408,0.4927246790299572,0.4961483594864479
wind_bin,15-20,618,53.63673139158576,54.284789644012946,0.6480582524271845,0.5,0.4935275080906149
wind_bin,5-10,4523,54.615852310413445,55.36502321468052,0.7491709042670793,0.4952465177979217,0.4961308865797037
