test_season,train_games,test_games,model_mae,zero_residual_baseline_mae
2023,563,480,14.11682298376852,12.573958333333334
2024,1043,646,14.571224838788208,13.320433436532507
2025,1689,656,13.056299541384416,12.213414634146341
