name,side,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,median_market_residual,threshold_points,test_seasons,avg_abs_pred_edge
walk_forward_ridge_controls_abs_edge_1.5,model,6426,6353,3231,3122,73,0.5085786242719975,-0.015230899537526321,0.49628373414778476,0.5208631458373955,-184.72727272727275,-0.02907717184436845,0.4056178026766262,-0.5,1.5,2016-2025,3.832666847005502
walk_forward_ridge_controls_abs_edge_2.5,model,4321,4267,2173,2094,54,0.5092570892898992,-0.014552434519624624,0.49425554080513606,0.5242419843664835,-118.5454545454545,-0.027781920446556013,0.49699143716732236,0.0,2.5,2016-2025,4.7365127577974295
walk_forward_ridge_controls_abs_edge_3.5,model,2745,2709,1367,1342,36,0.5046142488002953,-0.019195275009228574,0.4857930973337748,0.5234223319784267,-99.27272727272725,-0.03664552501761803,0.5794171220400729,0.0,3.5,2016-2025,5.737766835526584
walk_forward_ridge_controls_abs_edge_5.0,model,1355,1339,674,665,16,0.5033607169529499,-0.02044880685657391,0.47660848590151494,0.5300937193325201,-52.272727272727266,-0.03903863127164098,0.15018450184501844,-1.0,5.0,2016-2025,7.342124767151137
