filter_name,category,description,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,target_roi_10pct_gap,recent_2022_plus_graded,recent_2022_plus_roi,season_count,positive_seasons,losing_seasons,positive_season_rate,max_drawdown_units,avg_closing_total,avg_hgb_abs_edge,avg_market_residual,line_movement_clv_proxy_note,overfit_flags,shortlist_candidate,score
hgb_under_3p5_combo_total_ge_58_wind_ge_10,weather_total_combo_grid,HGB under 3.5+ with total >= 58 and wind >= 10 mph.,260,257,156,101,3,0.6070038910505836,0.08319436724105977,0.546133940787794,0.6647219963019954,40.81818181818181,0.15882561018747787,0.05882561018747787,71,0.18309859154929578,10,6,4,0.6,-10.636363636363646,65.21153846153847,6.316717160269378,-1.6615384615384616,true current-to-close CLV not available in historical file,none,True,42.54317561541872
hgb_under_3p5_humidity_ge_90,weather_single,HGB under 3.5+ with humidity at least 90%.,150,148,84,64,2,0.5675675675675675,0.04375804375804371,0.4870391324215402,0.6446770771020687,12.36363636363636,0.08353808353808351,-0.016461916461916498,32,0.25284090909090906,10,8,2,0.8,-6.363636363636365,55.21,6.39371713374464,-0.9233333333333333,true current-to-close CLV not available in historical file,none,True,42.26835380835381
hgb_under_3p5_total_60_63,high_total_bucket,HGB under 3.5+ with closing total 60 to 63.,163,161,98,63,2,0.6086956521739131,0.08488612836438925,0.5316153844270973,0.680709659736512,26.090909090909086,0.16205533596837943,0.06205533596837942,60,0.11363636363636363,10,9,1,0.9,-7.363636363636364,61.47852760736196,5.476567296604021,-3.521472392638037,true current-to-close CLV not available in historical file,none,True,40.54371541501976
hgb_under_3p5_wind_ge_12,weather_single,HGB under 3.5+ with wind at least 12 mph.,271,268,157,111,3,0.585820895522388,0.062011371712864194,0.5260391013362506,0.6431770892688664,31.727272727272723,0.11838534599728628,0.01838534599728628,82,0.16407982261640797,10,8,2,0.8,-10.727272727272727,56.98523985239852,6.017889059560475,-1.2214022140221403,true current-to-close CLV not available in historical file,none,True,40.17946586358672
hgb_under_3p5_combo_total_ge_56_humid_ge_70,weather_total_combo_grid,HGB under 3.5+ with total >= 56 and humidity >= 70%.,250,245,139,106,5,0.5673469387755102,0.0435374149659864,0.5047398486776214,0.6278746337883329,20.36363636363636,0.0831168831168831,-0.016883116883116903,57,0.20574162679425834,10,8,2,0.8,-8.545454545454545,64.08,6.393665228512727,-0.512,true current-to-close CLV not available in historical file,none,True,39.96192754613807
hgb_under_3p5_combo_total_ge_58_humid_ge_70,weather_total_combo_grid,HGB under 3.5+ with total >= 58 and humidity >= 70%.,215,211,120,91,4,0.5687203791469194,0.04491085533739558,0.5012546092356397,0.6337285597595642,18.090909090909086,0.08573890564411889,-0.014261094355881118,53,0.18867924528301883,10,9,1,0.9,-8.272727272727273,65.26279069767442,6.465902537593131,-0.4255813953488372,true current-to-close CLV not available in historical file,none,True,39.73368473250794
hgb_under_3p5_combo_total_ge_56_wind_ge_10,weather_total_combo_grid,HGB under 3.5+ with total >= 56 and wind >= 10 mph.,285,282,171,111,3,0.6063829787234043,0.08257345491388046,0.5482977267112696,0.661608738967624,44.45454545454545,0.1576402321083172,0.0576402321083172,75,0.14545454545454542,10,6,4,0.6,-11.727272727272725,64.46842105263158,6.232068233019606,-1.9280701754385965,true current-to-close CLV not available in historical file,none,True,39.694932301740806
hgb_under_3p5_combo_total_ge_60_humid_ge_70,weather_total_combo_grid,HGB under 3.5+ with total >= 60 and humidity >= 70%.,182,178,105,73,4,0.5898876404494382,0.06607811663991436,0.516473412722506,0.6595039213968593,22.454545454545453,0.1261491317671093,0.026149131767109285,45,0.14545454545454548,10,8,2,0.8,-7.363636363636363,66.4423076923077,6.489293884198427,-0.7005494505494505,true current-to-close CLV not available in historical file,none,True,38.3385495403473
hgb_under_3p5_combo_high_pass_rate_total_ge_56,team_style_total_grid,HGB under 3.5+ with top 30% pass-rate proxy and total >= 56.,249,245,144,101,4,0.5877551020408164,0.06394557823129254,0.5252249264100565,0.6475757628637627,29.909090909090914,0.12207792207792209,0.022077922077922085,62,0.13929618768328447,10,7,3,0.7,-7.36363636363637,64.60240963855422,6.090625765884715,-2.1164658634538154,true current-to-close CLV not available in historical file,none,True,37.278759949727686
hgb_under_7p0_no_model_strong_opposition,model_consensus,HGB under 7.0+ with no other model strongly leaning over.,238,235,129,106,3,0.548936170212766,0.025126646403242137,0.48503665271745144,0.6112614796012066,11.272727272727275,0.04796905222437138,-0.052030947775628625,36,0.21969696969696967,9,6,3,0.6666666666666666,-10.0,59.39705882352941,9.023064100631297,0.018907563025210083,true current-to-close CLV not available in historical file,none,True,35.07266279819471
