filter_name,category,season,graded,wins,losses,hit_rate,net_units_1u_each,roi_per_1u
hgb_under_3p5_temp_le_40,weather_single,2017,13,10,3,0.7692307692307693,6.090909090909091,0.46853146853146854
hgb_under_3p5_temp_le_40,weather_single,2018,14,6,8,0.42857142857142855,-2.545454545454545,-0.1818181818181818
hgb_under_3p5_temp_le_40,weather_single,2019,8,4,4,0.5,-0.36363636363636365,-0.045454545454545456
hgb_under_3p5_temp_le_40,weather_single,2020,10,5,5,0.5,-0.45454545454545425,-0.04545454545454543
hgb_under_3p5_temp_le_40,weather_single,2021,21,7,14,0.3333333333333333,-7.636363636363636,-0.3636363636363636
hgb_under_3p5_temp_le_40,weather_single,2022,13,7,6,0.5384615384615384,0.3636363636363633,0.027972027972027948
hgb_under_3p5_temp_le_40,weather_single,2023,4,2,2,0.5,-0.18181818181818188,-0.04545454545454547
hgb_under_3p5_temp_le_40,weather_single,2024,10,6,4,0.6,1.4545454545454541,0.14545454545454542
hgb_under_3p5_temp_le_35,weather_single,2016,1,1,0,1.0,0.9090909090909091,0.9090909090909091
hgb_under_3p5_temp_le_35,weather_single,2017,4,3,1,0.75,1.727272727272727,0.43181818181818177
hgb_under_3p5_temp_le_35,weather_single,2018,9,4,5,0.4444444444444444,-1.3636363636363633,-0.1515151515151515
hgb_under_3p5_temp_le_35,weather_single,2019,5,2,3,0.4,-1.1818181818181817,-0.23636363636363633
hgb_under_3p5_temp_le_35,weather_single,2020,7,4,3,0.5714285714285714,0.6363636363636365,0.09090909090909093
hgb_under_3p5_temp_le_35,weather_single,2021,9,3,6,0.3333333333333333,-3.2727272727272725,-0.3636363636363636
hgb_under_3p5_temp_le_35,weather_single,2022,11,5,6,0.45454545454545453,-1.4545454545454546,-0.1322314049586777
hgb_under_3p5_temp_le_35,weather_single,2023,2,1,1,0.5,-0.09090909090909094,-0.04545454545454547
hgb_under_3p5_temp_le_35,weather_single,2024,7,5,2,0.7142857142857143,2.5454545454545454,0.36363636363636365
hgb_under_3p5_temp_le_32,weather_single,2017,1,1,0,1.0,0.9090909090909091,0.9090909090909091
hgb_under_3p5_temp_le_32,weather_single,2018,6,2,4,0.3333333333333333,-2.1818181818181817,-0.3636363636363636
hgb_under_3p5_temp_le_32,weather_single,2019,2,1,1,0.5,-0.09090909090909094,-0.04545454545454547
hgb_under_3p5_temp_le_32,weather_single,2020,5,3,2,0.6,0.7272727272727273,0.14545454545454545
hgb_under_3p5_temp_le_32,weather_single,2021,5,2,3,0.4,-1.1818181818181819,-0.2363636363636364
hgb_under_3p5_temp_le_32,weather_single,2022,10,4,6,0.4,-2.3636363636363633,-0.23636363636363633
