season,games,with_weather,avg_total,avg_actual_total,avg_residual
2014,721,713,56.35298196948683,56.610263522884885,0.25728155339805825
2015,724,717,56.24240331491713,56.58701657458563,0.3446132596685083
2016,719,713,57.084840055632824,58.159944367176635,1.0751043115438108
2017,745,738,56.14093959731544,55.930201342281876,-0.21073825503355706
2018,812,799,56.74014778325123,57.248768472906406,0.5086206896551724
2019,841,829,55.92746730083234,55.907253269916765,-0.020214030915576695
2020,541,533,56.792051756007396,57.5637707948244,0.7717190388170055
2021,849,816,55.697879858657245,55.16372202591284,-0.5341578327444052
2022,1413,1390,54.19532908704883,54.854210898796886,0.6588818117480538
2023,1345,1323,52.17360594795539,52.912267657992565,0.7386617100371747
2024,1503,1460,52.27744510978044,53.21756487025948,0.9401197604790419
2025,1544,1501,52.60751295336787,52.873704663212436,0.2661917098445596
