card_strategy,legs,cards,graded,wins,losses,pushes,hit_rate,breakeven_hit_rate,net_units,roi_per_card,avg_cards_per_week,max_drawdown_units,avg_min_abs_pred_edge,avg_market_residual
hgb_under_3p5_all_2leg_top1_nonoverlap,2,126,126,42,84,0,0.3333333333333333,0.27437641723356004,25.33884297520663,0.20110192837465582,1.0,-11.842975206611566,7.3356264982347765,-1.1765873015873016
hgb_under_3p5_consensus_2leg_top1_nonoverlap,2,86,86,28,58,0,0.32558139534883723,0.27437641723356004,16.049586776859517,0.186623102056506,1.0,-11.84297520661157,7.574029120979868,-1.0755813953488371
hgb_under_3p5_high_total_2leg_top1_nonoverlap,2,120,120,43,77,0,0.35833333333333334,0.27437641723356004,36.71900826446283,0.3059917355371902,1.0,-6.0,6.7870067206156595,-1.5583333333333333
hgb_under_3p5_high_total_2leg_top2_nonoverlap,2,211,211,74,137,0,0.35071090047393366,0.27437641723356004,58.702479338843006,0.2782108025537583,1.7583333333333333,-9.776859504132231,6.255126247320546,-1.2369668246445498
hgb_under_3p5_high_total_3leg_top1_nonoverlap,3,103,103,18,85,0,0.17475728155339806,0.1437209804556743,22.242674680691223,0.21594829787078856,1.0,-15.0,6.145429882388368,-1.3317152103559873
hgb_under_5p0_consensus_2leg_top1_nonoverlap,2,81,81,26,55,0,0.32098765432098764,0.27437641723356004,13.76033057851241,0.16988062442607912,1.0,-12.84297520661157,7.753074263093486,-0.7592592592592593
hgb_under_5p0_high_total_2leg_top1_nonoverlap,2,103,103,36,67,0,0.34951456310679613,0.27437641723356004,28.20661157024795,0.2738505977693976,1.0,-8.0,7.226088213193863,-0.8470873786407767
