strategy,legs,parlays,graded,wins,losses,pushes,hit_rate,breakeven_hit_rate_at_minus_110_legs,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_parlay,roi_per_1u_parlay,avg_abs_pred_edge_per_leg,avg_market_residual_per_leg,base_strategy,season
hgb_all_sides_5p0_consensus__2017,2,1734,1734,565,1169,0,0.32583621683967706,0.27437641723356004,0.3041818226300701,0.3482606094074642,273.14876033057874,0.15752523663816537,7.46851138874567,-1.2461072664359862,hgb_all_sides_5p0_consensus,2017
hgb_all_sides_5p0_consensus__2018,2,1514,1514,469,1045,0,0.309775429326288,0.27437641723356004,0.28698912308320446,0.333524638036533,153.6776859504134,0.10150441608349631,7.499050423124239,1.6931968295904887,hgb_all_sides_5p0_consensus,2018
hgb_all_sides_5p0_consensus__2019,2,1324,1324,369,955,0,0.27870090634441086,0.27437641723356004,0.25521640079027635,0.3034658998696818,-6.90082644628081,-0.005212104566677349,6.68895439032756,1.1844788519637461,hgb_all_sides_5p0_consensus,2019
hgb_all_sides_5p0_consensus__2020,2,479,479,101,378,0,0.21085594989561587,0.27437641723356004,0.17669859068807592,0.24961430364414405,-110.89256198347104,-0.23150848013250738,6.8838861833748926,2.049582463465553,hgb_all_sides_5p0_consensus,2020
hgb_all_sides_5p0_consensus__2021,2,836,836,290,546,0,0.34688995215311,0.27437641723356004,0.3153908039366637,0.37978981107454796,191.43801652892574,0.22899284273794945,6.96580661764108,0.005681818181818182,hgb_all_sides_5p0_consensus,2021
hgb_all_sides_5p0_consensus__2022,2,1021,1021,377,644,0,0.3692458374142997,0.27437641723356004,0.34018475429694983,0.39928717970729044,346.0826446280994,0.3389643923879524,6.6410006500213195,0.6466699314397649,hgb_all_sides_5p0_consensus,2022
hgb_all_sides_5p0_consensus__2023,2,1,1,0,1,0,0.0,0.27437641723356004,0.0,0.7934567085261071,-1.0,-1.0,6.135121788861656,18.0,hgb_all_sides_5p0_consensus,2023
hgb_all_sides_5p0_consensus__2017,3,8910,8910,1637,7273,0,0.18372615039281706,0.1437209804556743,0.1758218365214612,0.19190307346572097,2009.6371149511658,0.22554849774985025,7.4939858859483905,-1.1078563411896745,hgb_all_sides_5p0_consensus,2017
hgb_all_sides_5p0_consensus__2018,3,7765,7765,1224,6541,0,0.15763039278815197,0.1437209804556743,0.14969485825995804,0.16590452273398582,512.9444027047342,0.06605851934381639,7.477530843876226,1.8810903627387852,hgb_all_sides_5p0_consensus,2018
hgb_all_sides_5p0_consensus__2019,3,7393,7393,1092,6301,0,0.14770729068037333,0.1437209804556743,0.13980228839436512,0.15597822419630605,59.270473328325465,0.008017107172774986,6.605869929609758,0.5766039947698274,hgb_all_sides_5p0_consensus,2019
hgb_all_sides_5p0_consensus__2020,3,1493,1493,138,1355,0,0.09243134628265237,0.1437209804556743,0.07876716896302575,0.10818754955896077,-532.8061607813673,-0.3568694981790806,6.920591620303656,2.0812681402098683,hgb_all_sides_5p0_consensus,2020
hgb_all_sides_5p0_consensus__2021,3,3102,3102,639,2463,0,0.2059961315280464,0.1437209804556743,0.19213160978397406,0.22058795711216125,1125.437265214125,0.36281020799939556,7.0199341162469295,-0.21260477111540926,hgb_all_sides_5p0_consensus,2021
hgb_all_sides_5p0_consensus__2022,3,4125,4125,1069,3056,0,0.25915151515151513,0.1437209804556743,0.24600828096885144,0.2727429348685397,3293.143501126973,0.7983378184550238,6.654769541539423,0.5357979797979797,hgb_all_sides_5p0_consensus,2022
hgb_under_3p5_all__2016,2,850,850,265,585,0,0.31176470588235294,0.27437641723356004,0.2815294930384646,0.3436937333773014,96.7355371900828,0.11380651434127388,6.007446280880989,-0.8838235294117647,hgb_under_3p5_all,2016
hgb_under_3p5_all__2017,2,766,766,280,486,0,0.36553524804177545,0.27437641723356004,0.3321804522488961,0.4002320336443059,233.66942148760344,0.30505146408303324,6.247561792579256,-2.85411227154047,hgb_under_3p5_all,2017
hgb_under_3p5_all__2018,2,1052,1052,332,720,0,0.3155893536121673,0.27437641723356004,0.2882188595150321,0.34430177615607616,131.9834710743803,0.12545957326462007,6.808663522394083,-0.36216730038022815,hgb_under_3p5_all,2018
hgb_under_3p5_all__2019,2,412,412,119,293,0,0.28883495145631066,0.27437641723356004,0.24718062918748077,0.33439081532408316,7.826446280991789,0.01899622883735871,5.581138006432219,-0.17233009708737865,hgb_under_3p5_all,2019
hgb_under_3p5_all__2020,2,353,353,90,263,0,0.254957507082153,0.27437641723356004,0.21229737670098392,0.30289367725685057,-49.28099173553715,-0.1396062088825415,6.084030149182112,1.1267705382436262,hgb_under_3p5_all,2020
hgb_under_3p5_all__2021,2,1937,1937,714,1223,0,0.36861125451729476,0.27437641723356004,0.3474065792491698,0.390336057759435,642.7024793388432,0.3318030352807657,5.730433644961287,-2.5165203923593187,hgb_under_3p5_all,2021
hgb_under_3p5_all__2022,2,662,662,210,452,0,0.31722054380664655,0.27437641723356004,0.28290920306860584,0.35364099145213307,103.37190082644636,0.15615090759281927,5.355663848285878,-1.7972054380664653,hgb_under_3p5_all,2022
hgb_under_3p5_all__2023,2,342,341,120,221,1,0.3519061583577713,0.27437641723356004,0.3031233783734105,0.4039885245988527,70.32231404958682,0.20622379486682352,5.239843581064384,1.1140350877192982,hgb_under_3p5_all,2023
hgb_under_3p5_all__2024,2,245,245,88,157,0,0.35918367346938773,0.27437641723356004,0.30170788617188893,0.42100728685384314,61.84297520661161,0.2524203069657617,5.125393262932591,-2.2612244897959184,hgb_under_3p5_all,2024
hgb_under_3p5_all__2016,3,3063,3063,578,2485,0,0.18870388507998695,0.1437209804556743,0.17524022285225913,0.20294742140038177,855.9691960931636,0.27945452043524766,6.0318495910375365,-1.5112634671890304,hgb_under_3p5_all,2016
