rule,side,games_matched,bets_no_pushes,wins,losses,hit_rate_no_pushes,net_units_risk_1u_each,roi_per_1u_risked
wind_15_under,under,1033,1023,539,484,0.5268817204301075,6.000000000000005,0.005865102639296193
gust_25_under,under,11757,11634,5935,5699,0.5101426852329379,-303.5454545454545,-0.02609123728257302
cold_wind_under,under,141,137,84,53,0.6131386861313869,23.36363636363636,0.17053749170537488
