model,threshold,line_provider,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
elastic_net,1.5,Bovada,177,177,87,90,0,0.4915254237288136,-0.032284100080710254,0.41884097312711865,0.5645699234807415,-10.909090909090907,-0.06163328197226501,1.5960451977401129,2.6013298092178228
elastic_net,1.5,Caesars,1,1,0,1,0,0.0,-0.5238095238095238,0.0,0.7934567085261071,-1.0,-1.0,-9.0,2.414922670936556
elastic_net,1.5,Caesars Sportsbook (Colorado),29,29,16,13,0,0.5517241379310345,0.02791461412151064,0.37547667068067625,0.715870888512542,1.5454545454545454,0.05329153605015674,4.844827586206897,2.3211195013145
elastic_net,1.5,DraftKings,876,859,481,378,17,0.559953434225844,0.036143910416320146,0.5265634868584065,0.5928095243640473,59.272727272727266,0.0690020107947931,0.4925799086757991,2.7522330948812703
elastic_net,1.5,ESPN Bet,440,440,215,225,0,0.48863636363636365,-0.03517316017316019,0.4422295908483977,0.535239848699405,-29.54545454545454,-0.0671487603305785,0.4659090909090909,2.6703273266008125
elastic_net,1.5,William Hill (New Jersey),249,247,121,126,2,0.4898785425101215,-0.03393098129940236,0.42816945692424674,0.5518976451832187,-15.999999999999996,-0.06477732793522266,0.8132530120481928,2.1282352537792604
elastic_net,1.5,consensus,2619,2585,1308,1277,34,0.5059961315280465,-0.01781339228147738,0.4867278605047907,0.5252466071490046,-87.9090909090909,-0.034007385264638645,-0.021382206949217258,3.1794201516201297
elastic_net,1.5,numberfire,1,1,0,1,0,0.0,-0.5238095238095238,0.0,0.7934567085261071,-1.0,-1.0,69.0,1.7709579142722212
elastic_net,1.5,teamrankings,556,548,262,286,8,0.4781021897810219,-0.04570733402850191,0.43657682232417583,0.5199324368545449,-47.81818181818181,-0.08725945587259455,0.26258992805755393,4.713551272321739
elastic_net,2.5,Bovada,76,76,38,38,0,0.5,-0.023809523809523836,0.3903240360982663,0.6096759639017337,-3.4545454545454533,-0.045454545454545435,-0.39473684210526316,3.508478173458304
elastic_net,2.5,Caesars Sportsbook (Colorado),12,12,6,6,0,0.5,-0.023809523809523836,0.2537781703934222,0.7462218296065778,-0.5454545454545456,-0.04545454545454547,9.791666666666666,2.8184908183815094
elastic_net,2.5,DraftKings,363,357,198,159,6,0.5546218487394958,0.03081232492997199,0.5027555362427368,0.6053251285143201,21.000000000000004,0.05882352941176472,-0.5344352617079889,3.90133907040713
elastic_net,2.5,ESPN Bet,81,81,49,32,0,0.6049382716049383,0.08112874779541446,0.4960527758726388,0.7043206258548158,12.545454545454547,0.1548821548821549,3.1296296296296298,6.234385289348166
