removed_component,ablation_model,paired_games,test_seasons,mae_penalty_when_removed,component_game_ci_low,component_game_ci_high,component_season_ci_low,component_season_ci_high,test_seasons_joint_core_better,seasons_required_for_component_support,component_evidence_status
orientation_vector,joint_no_orientation,6521,10,0.04153690924253192,-0.014477892004399877,0.09776866798445107,-0.017823108617559532,0.08281315715862887,9,7,COMPONENT_NOT_ISOLATED
climate_context,joint_no_climate,6521,10,0.04155579117049277,-0.022034127157837733,0.10652142218318462,0.013381858433237293,0.07519055294391623,8,7,COMPONENT_NOT_ISOLATED
crosswind,joint_no_crosswind,6521,10,0.03107731250181325,-0.02594833882927969,0.08763591886329322,-0.034710378374495976,0.07001123136097517,7,7,COMPONENT_NOT_ISOLATED
along_field_wind,joint_no_alongwind,6521,10,0.06171703762089004,0.006452310838648386,0.11558302228443704,0.007721792342052914,0.1056021289807152,7,7,COMPONENT_SUPPORTED
temperature_context,joint_no_temperature_context,6521,10,0.039478443656631126,-0.02173355755725291,0.10155151342410206,-0.03696195948049712,0.11394353983544646,7,7,COMPONENT_NOT_ISOLATED
local_wind_context,joint_no_local_wind_context,6521,10,0.05477073415799204,-0.003594895496468631,0.11388033887252552,0.013101805014636961,0.09603422825662908,8,7,COMPONENT_NOT_ISOLATED
latitude_context,joint_no_latitude_context,6521,10,0.02189769396765858,-0.03547402693263875,0.07969356727737593,-0.014978702209490836,0.06833061107655064,6,7,COMPONENT_NOT_ISOLATED
