test_season,window_seasons,model,train_games,train_seasons,test_games,paired_joint_games,numeric_features,categorical_features,mae,rmse,signed_projection_bias,training_window
2016,expanding,baseline,1445,2,719,648,136,10,13.669806150139792,17.642337920609886,-0.5903778218609087,expanding
2016,expanding,joint_core,1445,2,719,648,143,10,13.617080085468848,17.67947112030316,-0.7034937997853901,expanding
2016,expanding,joint_no_orientation,1445,2,719,648,141,10,13.645453101628936,17.669349106779734,-0.5710315464217912,expanding
2016,expanding,joint_no_climate,1445,2,719,648,138,10,13.590669906508667,17.593691336579152,-0.6649831185050599,expanding
2016,expanding,joint_no_crosswind,1445,2,719,648,142,10,13.732237173646,17.71943221923359,-0.5703632266658871,expanding
2016,expanding,joint_no_alongwind,1445,2,719,648,142,10,13.68665232936335,17.713158538613257,-0.7798831820671516,expanding
2016,expanding,joint_no_temperature_context,1445,2,719,648,141,10,13.418500090567322,17.41306572685831,-0.6051585597207257,expanding
2016,expanding,joint_no_local_wind_context,1445,2,719,648,141,10,13.589266125145684,17.630783802481286,-0.7416931878277137,expanding
2016,expanding,joint_no_latitude_context,1445,2,719,648,140,10,13.545915733155562,17.509686645239636,-0.6104757052223075,expanding
2017,expanding,baseline,2164,3,745,679,136,10,14.060648889481904,17.670438364474393,0.6219494895079277,expanding
2017,expanding,joint_core,2164,3,745,679,143,10,14.091766955979589,17.734104829165876,0.8601408136822725,expanding
2017,expanding,joint_no_orientation,2164,3,745,679,141,10,14.138313769858485,17.752698286250958,1.329922241944429,expanding
2017,expanding,joint_no_climate,2164,3,745,679,138,10,14.187128248121562,17.811713531774974,0.5144863236303904,expanding
2017,expanding,joint_no_crosswind,2164,3,745,679,142,10,14.121549159259576,17.718602873719448,0.8665384937719677,expanding
2017,expanding,joint_no_alongwind,2164,3,745,679,142,10,14.275360582712988,17.85190705047463,0.8341177541820837,expanding
2017,expanding,joint_no_temperature_context,2164,3,745,679,141,10,14.17062783021013,17.759293502232005,0.8455177568741505,expanding
2017,expanding,joint_no_local_wind_context,2164,3,745,679,141,10,14.094672185408548,17.797695438182934,0.8690364936188905,expanding
2017,expanding,joint_no_latitude_context,2164,3,745,679,140,10,14.083049360045871,17.706912565531503,0.787792831638002,expanding
2018,expanding,baseline,2909,4,812,656,136,10,13.503655289009469,17.23764473509438,-0.5067671605946752,expanding
2018,expanding,joint_core,2909,4,812,656,143,10,13.25967854809371,17.071804431592298,-0.47875073924931866,expanding
2018,expanding,joint_no_orientation,2909,4,812,656,141,10,13.449531522546112,17.164132258310737,-0.5990243625593418,expanding
2018,expanding,joint_no_climate,2909,4,812,656,138,10,13.359817245081093,17.147056159682503,-0.2122103345080058,expanding
2018,expanding,joint_no_crosswind,2909,4,812,656,142,10,13.386633001060376,17.228244224031634,-0.6918574494853618,expanding
2018,expanding,joint_no_alongwind,2909,4,812,656,142,10,13.420351319364608,17.180646922373242,-0.6258917523511255,expanding
2018,expanding,joint_no_temperature_context,2909,4,812,656,141,10,13.42917655156164,17.24867341181521,-0.4778654638561109,expanding
2018,expanding,joint_no_local_wind_context,2909,4,812,656,141,10,13.41617058583787,17.27977184490735,-0.5448940688395406,expanding
2018,expanding,joint_no_latitude_context,2909,4,812,656,140,10,13.338099838274749,17.193670537067725,-0.6560714204433518,expanding
2019,expanding,baseline,3721,5,841,668,136,10,13.156280770945955,16.570457222013317,0.4814413176094835,expanding
2019,expanding,joint_core,3721,5,841,668,143,10,13.062877777101363,16.513731456819297,-0.03624818727599522,expanding
2019,expanding,joint_no_orientation,3721,5,841,668,141,10,13.081885980595773,16.52128376386554,0.5419949615746655,expanding
2019,expanding,joint_no_climate,3721,5,841,668,138,10,13.096390497334648,16.55917911804616,0.3740045598039888,expanding
