test_season,model,paired_games,mae,mae_delta_vs_baseline,rmse,signed_projection_bias
2016,baseline,648,13.669806150139792,0.0,17.642337920609886,-0.5903778218609087
2016,along_magnitude,648,13.591929349793055,-0.07787680034673697,17.607386944304285,-0.5649896303315731
2016,cross_magnitude,648,13.46475334032123,-0.2050528098185621,17.499882816620435,-0.7655520514719939
2016,vector_magnitude,648,13.590669906508667,-0.0791362436311236,17.593691336579152,-0.6649831185050599
2016,along_alignment,648,13.614673871478226,-0.05513227866156318,17.654654741439476,-0.4072385186541169
2016,alignment_pair,648,13.586207943179323,-0.08359820696046691,17.66607629387839,-0.7828737019540126
2016,joint_core,648,13.617080085468848,-0.052726064670942964,17.67947112030316,-0.7034937997853901
2017,baseline,679,14.060648889481904,0.0,17.670438364474393,0.6219494895079277
2017,along_magnitude,679,14.170584522566998,0.10993563308509287,17.699378678226267,0.7880888610355218
2017,cross_magnitude,679,14.08698020777799,0.026331318296087702,17.738238057304546,0.7589020618070429
2017,vector_magnitude,679,14.187128248121562,0.126479358639658,17.811713531774974,0.5144863236303904
2017,along_alignment,679,14.274077065465516,0.21342817598361305,17.829579418969328,0.8314935764101254
2017,alignment_pair,679,14.203561041088633,0.14291215160672874,17.73547649350113,0.9514907838181569
2017,joint_core,679,14.091766955979589,0.031118066497686434,17.734104829165876,0.8601408136822725
2018,baseline,656,13.503655289009469,0.0,17.23764473509438,-0.5067671605946752
2018,along_magnitude,656,13.328931870951376,-0.17472341805809372,17.146387605638562,-0.7196791346363501
2018,cross_magnitude,656,13.412090253684417,-0.09156503532505078,17.189991397076152,-0.7840683376302849
2018,vector_magnitude,656,13.359817245081093,-0.14383804392837662,17.147056159682503,-0.2122103345080058
2018,along_alignment,656,13.403740726816222,-0.09991456219324603,17.244918759085582,-0.5156949880411877
2018,alignment_pair,656,13.409048262603564,-0.09460702640590699,17.237065670496712,-0.5362671484236224
2018,joint_core,656,13.25967854809371,-0.24397674091576027,17.071804431592298,-0.47875073924931866
2019,baseline,668,13.156280770945955,0.0,16.570457222013317,0.4814413176094835
2019,along_magnitude,668,13.020416251648843,-0.1358645192971129,16.460430082006855,0.31645169477330887
2019,cross_magnitude,668,13.145011228299344,-0.01126954264661163,16.51992804693254,0.6836951332424067
2019,vector_magnitude,668,13.096390497334648,-0.059890273611308796,16.55917911804616,0.3740045598039888
2019,along_alignment,668,13.230753342191518,0.07447257124556259,16.660940828465794,0.5187846205257988
2019,alignment_pair,668,13.024360777916028,-0.13191999302992855,16.405823079018308,0.5313469819027296
2019,joint_core,668,13.062877777101363,-0.09340299384459444,16.513731456819297,-0.03624818727599522
2020,baseline,398,14.36394612106886,0.0,18.021828343946787,-0.6102239988979912
2020,along_magnitude,398,14.248643896021507,-0.11530222504735395,17.84323788624269,-0.3267885535976096
2020,cross_magnitude,398,14.480648547643396,0.11670242657453511,18.140829734052904,-0.4599776037414513
2020,vector_magnitude,398,14.35218906494175,-0.011757056127110118,17.974136514068697,-0.18776447113673272
2020,along_alignment,398,14.341503786440867,-0.022442334627990383,17.9272323802791,-0.3219817574695148
2020,alignment_pair,398,14.16956184866192,-0.19438427240694067,17.795166710989005,-0.5638222363459453
2020,joint_core,398,14.262969431502059,-0.10097668956680206,18.042841155072317,-0.2503806184332393
2021,baseline,669,12.648602268956669,0.0,16.111331058748167,-1.3121644243424149
2021,along_magnitude,669,12.805882257290346,0.1572799883336757,16.240424436915415,-1.7686616223410982
