challenger,reference,paired_games,test_seasons,mean_mae_delta_challenger_minus_reference,game_bootstrap_ci_low,game_bootstrap_ci_high,season_cluster_ci_low,season_cluster_ci_high,test_seasons_improved,seasons_required_for_support,evidence_status
along_magnitude,baseline,6521,10,-0.021184434226844597,-0.07585887101502031,0.03267524957174683,-0.08825112788742083,0.041796056092984334,6,7,NOT_PROVEN
cross_magnitude,baseline,6521,10,-0.028175074333803594,-0.08410514454631308,0.028608595466500464,-0.07522015461806533,0.026977994255616353,7,7,NOT_PROVEN
vector_magnitude,baseline,6521,10,-0.016959808333324528,-0.0745884718749695,0.04115378455118909,-0.061054535342808414,0.028283500901397616,7,7,NOT_PROVEN
along_alignment,baseline,6521,10,0.032521546026169454,-0.022920546707926828,0.08870192143222677,-0.03599103159598132,0.10615316738105422,4,7,NOT_PROVEN
alignment_pair,baseline,6521,10,-0.010550165895379883,-0.06640814479553148,0.04529154359021217,-0.08718775417709534,0.05022801848976507,6,7,NOT_PROVEN
joint_core,baseline,6521,10,-0.058515599503817295,-0.12728959682617239,0.007523421130861554,-0.11239707513122113,-0.014300170313011966,8,7,NOT_PROVEN
