test_season,games,unique_venues,pct_venues_seen_in_prior_train,mean_wind_mph,mean_alongwind_mph,mean_crosswind_mph,mean_field_angle_deg,mean_along_alignment,mean_temperature_f,mean_temperature_anomaly_f,mean_local_wind_percentile,mean_closing_total,baseline_mae,along_mae,along_mae_delta_vs_baseline,joint_core_mae,joint_core_mae_delta_vs_baseline
2016,648,122,1.0,8.375617283950618,5.259565398274883,5.378304535663274,45.17806570373095,0.632586576060261,67.2378086419753,3.4684971591820006,0.5293947443903219,57.25925925925926,13.669806150139792,13.591929349793055,-0.07787680034673697,13.617080085468848,-0.052726064670942964
2017,679,126,0.979381443298969,8.349337260677467,5.553214696973283,4.995807714618336,43.51851049561349,0.6522317498456864,67.8220913107511,2.051482216476155,0.5336666349008299,55.985272459499264,14.060648889481904,14.170584522566998,0.10993563308509287,14.091766955979589,0.031118066497686434
2018,656,126,0.9954268292682927,8.433079268292683,5.526088613949597,5.21921763378706,44.04248010450512,0.6483668420199249,64.30914634146342,-2.162410570527089,0.490920967822227,56.52439024390244,13.503655289009469,13.328931870951376,-0.17472341805809372,13.25967854809371,-0.24397674091576027
2019,668,127,1.0,8.201347305389222,5.224767723164738,5.1467744784072424,43.80512614112753,0.6460854624352876,64.45074850299402,-1.0938856433684951,0.4732290442383385,55.547904191616766,13.156280770945955,13.020416251648843,-0.1358645192971129,13.062877777101363,-0.09340299384459444
2020,398,117,0.9698492462311558,8.372613065326634,5.869402317241003,4.696399044410948,39.9562202581929,0.691539209632108,60.76582914572865,-0.5323257330384349,0.49857764459496146,56.71859296482412,14.36394612106886,14.248643896021507,-0.11530222504735395,14.262969431502059,-0.10097668956680206
2021,669,127,0.9955156950672646,7.460388639760837,4.848385252915587,4.626786227741621,44.01848171584589,0.6449896385429129,65.28729446935725,0.10704185718966311,0.41950799771377834,55.84977578475336,12.648602268956669,12.805882257290346,0.1572799883336757,12.570008850600424,-0.07859341835624604
2022,700,128,0.9842857142857143,8.064428571428572,5.201802073683214,5.072064646724332,43.13167078108473,0.6548372351643553,65.12257142857143,-0.20645832269138387,0.4859916801100859,54.36785714285714,12.160980911858092,12.237536808924233,0.07655589706613977,12.221031012232736,0.06005010037464152
2023,708,130,1.0,7.42415254237288,4.69403563341724,4.7262099823599595,42.949109765628876,0.653289298702127,66.84745762711864,0.6568997093416262,0.47191258404669645,52.43361581920904,13.090053442149776,13.05001946032754,-0.040033981822238295,12.996477892702858,-0.0935755494469187
2024,691,126,1.0,7.513458755426917,4.712189885155096,4.84005491405205,43.203192595076764,0.6490192045689473,67.77308248914616,2.234637545267773,0.48834839959889526,52.520984081041966,12.82810261709058,12.760502378677533,-0.06760023841304907,12.804207407960087,-0.02389520913049231
2025,704,128,1.0,7.0981534090909095,4.453525780057572,4.594650866803999,42.71065727854408,0.6610151770998329,67.80369318181819,1.852585001145294,0.45421302578796324,52.24289772727273,12.396923759230674,12.404291524293342,0.007367765062665321,12.379018600001457,-0.017905159229214998
