test_season,model,train_games,test_games,paired_joint_games,numeric_features,categorical_features,mae,rmse,signed_projection_bias
2016,baseline,1445,719,648,136,10,13.669806150139792,17.642337920609886,-0.5903778218609087
2016,along_magnitude,1445,719,648,137,10,13.591929349793055,17.607386944304285,-0.5649896303315731
2016,cross_magnitude,1445,719,648,137,10,13.46475334032123,17.499882816620435,-0.7655520514719939
2016,vector_magnitude,1445,719,648,138,10,13.590669906508667,17.593691336579152,-0.6649831185050599
2016,along_alignment,1445,719,648,137,10,13.614673871478226,17.654654741439476,-0.4072385186541169
2016,alignment_pair,1445,719,648,138,10,13.586207943179323,17.66607629387839,-0.7828737019540126
2016,joint_core,1445,719,648,143,10,13.617080085468848,17.67947112030316,-0.7034937997853901
2017,baseline,2164,745,679,136,10,14.060648889481904,17.670438364474393,0.6219494895079277
2017,along_magnitude,2164,745,679,137,10,14.170584522566998,17.699378678226267,0.7880888610355218
2017,cross_magnitude,2164,745,679,137,10,14.08698020777799,17.738238057304546,0.7589020618070429
2017,vector_magnitude,2164,745,679,138,10,14.187128248121562,17.811713531774974,0.5144863236303904
2017,along_alignment,2164,745,679,137,10,14.274077065465516,17.829579418969328,0.8314935764101254
2017,alignment_pair,2164,745,679,138,10,14.203561041088633,17.73547649350113,0.9514907838181569
2017,joint_core,2164,745,679,143,10,14.091766955979589,17.734104829165876,0.8601408136822725
2018,baseline,2909,812,656,136,10,13.503655289009469,17.23764473509438,-0.5067671605946752
2018,along_magnitude,2909,812,656,137,10,13.328931870951376,17.146387605638562,-0.7196791346363501
2018,cross_magnitude,2909,812,656,137,10,13.412090253684417,17.189991397076152,-0.7840683376302849
2018,vector_magnitude,2909,812,656,138,10,13.359817245081093,17.147056159682503,-0.2122103345080058
2018,along_alignment,2909,812,656,137,10,13.403740726816222,17.244918759085582,-0.5156949880411877
2018,alignment_pair,2909,812,656,138,10,13.409048262603564,17.237065670496712,-0.5362671484236224
2018,joint_core,2909,812,656,143,10,13.25967854809371,17.071804431592298,-0.47875073924931866
2019,baseline,3721,841,668,136,10,13.156280770945955,16.570457222013317,0.4814413176094835
2019,along_magnitude,3721,841,668,137,10,13.020416251648843,16.460430082006855,0.31645169477330887
2019,cross_magnitude,3721,841,668,137,10,13.145011228299344,16.51992804693254,0.6836951332424067
2019,vector_magnitude,3721,841,668,138,10,13.096390497334648,16.55917911804616,0.3740045598039888
2019,along_alignment,3721,841,668,137,10,13.230753342191518,16.660940828465794,0.5187846205257988
2019,alignment_pair,3721,841,668,138,10,13.024360777916028,16.405823079018308,0.5313469819027296
2019,joint_core,3721,841,668,143,10,13.062877777101363,16.513731456819297,-0.03624818727599522
2020,baseline,4562,541,398,136,10,14.36394612106886,18.021828343946787,-0.6102239988979912
2020,along_magnitude,4562,541,398,137,10,14.248643896021507,17.84323788624269,-0.3267885535976096
2020,cross_magnitude,4562,541,398,137,10,14.480648547643396,18.140829734052904,-0.4599776037414513
2020,vector_magnitude,4562,541,398,138,10,14.35218906494175,17.974136514068697,-0.18776447113673272
2020,along_alignment,4562,541,398,137,10,14.341503786440867,17.9272323802791,-0.3219817574695148
2020,alignment_pair,4562,541,398,138,10,14.16956184866192,17.795166710989005,-0.5638222363459453
2020,joint_core,4562,541,398,143,10,14.262969431502059,18.042841155072317,-0.2503806184332393
2021,baseline,5103,849,669,136,10,12.648602268956669,16.111331058748167,-1.3121644243424149
2021,along_magnitude,5103,849,669,137,10,12.805882257290346,16.240424436915415,-1.7686616223410982
2021,cross_magnitude,5103,849,669,137,10,12.710725569233514,16.086126202845417,-0.9896636084765843
2021,vector_magnitude,5103,849,669,138,10,12.686425941664497,16.069720350488645,-1.329760370448917
2021,along_alignment,5103,849,669,137,10,12.909165108357524,16.38378889473633,-2.565596523033456
2021,alignment_pair,5103,849,669,138,10,12.800111664934414,16.315962652177088,-1.977985588683003
2021,joint_core,5103,849,669,143,10,12.570008850600424,15.986385517597746,-0.8216770889832692
2022,baseline,5952,1413,700,136,10,12.160980911858092,15.535058300052453,0.2470844630285964
2022,along_magnitude,5952,1413,700,137,10,12.237536808924233,15.580928288508234,0.05627328858464844
2022,cross_magnitude,5952,1413,700,137,10,12.148899563179324,15.467008436265319,0.04517417313658021
2022,vector_magnitude,5952,1413,700,138,10,12.201870811464739,15.548597577677207,0.06611443735707177
2022,along_alignment,5952,1413,700,137,10,12.180871957202625,15.459933419898366,0.006240800116449025
2022,alignment_pair,5952,1413,700,138,10,12.2466616008621,15.557086415472206,0.1927855967231797
2022,joint_core,5952,1413,700,143,10,12.221031012232736,15.508881869967468,0.310277897016156
2023,baseline,7365,1345,708,136,10,13.090053442149776,16.329789707399904,-1.109539207427107
2023,along_magnitude,7365,1345,708,137,10,13.05001946032754,16.27570424104607,-0.9273366410857741
2023,cross_magnitude,7365,1345,708,137,10,13.027181534966264,16.197131814008436,-1.011810539988347
2023,vector_magnitude,7365,1345,708,138,10,13.01922525395056,16.185660378304792,-1.0890279825872426
2023,along_alignment,7365,1345,708,137,10,12.98429590127675,16.229088027233725,-1.2494317397191328
2023,alignment_pair,7365,1345,708,138,10,13.075062471232535,16.338374083788473,-1.1191485627538216
2023,joint_core,7365,1345,708,143,10,12.996477892702858,16.17818864416462,-1.048611843812975
2024,baseline,8710,1503,691,136,10,12.82810261709058,16.376536009043697,-0.7332781680986659
2024,along_magnitude,8710,1503,691,137,10,12.760502378677533,16.30929954332862,-0.6342119309568046
2024,cross_magnitude,8710,1503,691,137,10,12.79293578825261,16.365330434626777,-0.6397405369348322
2024,vector_magnitude,8710,1503,691,138,10,12.823925376647948,16.432582605504784,-0.815320721697965
2024,along_alignment,8710,1503,691,137,10,12.833665325862482,16.375009657738122,-0.7084438710170553
2024,alignment_pair,8710,1503,691,138,10,12.76263539953029,16.305373489723635,-0.6256861291327775
2024,joint_core,8710,1503,691,143,10,12.804207407960087,16.400507966718912,-0.9590720235873481
2025,baseline,10213,1544,704,136,10,12.396923759230674,15.41222410340725,0.10404471257245279
