test_season,model,paired_games,mae,mae_delta_vs_baseline,rmse,signed_projection_bias
2016,baseline,648,13.669806150139792,0.0,17.642337920609886,-0.5903778218609087
2016,orientation_crosswind,648,13.46475334032123,-0.2050528098185621,17.499882816620435,-0.7655520514719939
2016,orientation_vector,648,13.590669906508667,-0.0791362436311236,17.593691336579152,-0.6649831185050599
2016,climate_full,648,13.645453101628936,-0.024353048510855752,17.669349106779734,-0.5710315464217912
2016,joint_core,648,13.617080085468848,-0.052726064670942964,17.67947112030316,-0.7034937997853901
2016,joint_interactions,648,13.689417041535686,0.019610891395894937,17.650648657837515,-0.4554987993053999
2017,baseline,679,14.060648889481904,0.0,17.670438364474393,0.6219494895079277
2017,orientation_crosswind,679,14.08698020777799,0.026331318296087702,17.738238057304546,0.7589020618070429
2017,orientation_vector,679,14.187128248121562,0.126479358639658,17.811713531774974,0.5144863236303904
2017,climate_full,679,14.138313769858485,0.07766488037657963,17.752698286250958,1.329922241944429
2017,joint_core,679,14.091766955979589,0.031118066497686434,17.734104829165876,0.8601408136822725
2017,joint_interactions,679,14.158372659999161,0.09772377051725534,17.757376221682293,0.8713452309222736
2018,baseline,656,13.503655289009469,0.0,17.23764473509438,-0.5067671605946752
2018,orientation_crosswind,656,13.412090253684417,-0.09156503532505078,17.189991397076152,-0.7840683376302849
2018,orientation_vector,656,13.359817245081093,-0.14383804392837662,17.147056159682503,-0.2122103345080058
2018,climate_full,656,13.449531522546112,-0.05412376646335752,17.164132258310737,-0.5990243625593418
2018,joint_core,656,13.25967854809371,-0.24397674091576027,17.071804431592298,-0.47875073924931866
2018,joint_interactions,656,13.343604880028323,-0.1600504089811465,17.21967669711812,-0.6091158490903779
2019,baseline,668,13.156280770945955,0.0,16.570457222013317,0.4814413176094835
2019,orientation_crosswind,668,13.145011228299344,-0.01126954264661163,16.51992804693254,0.6836951332424067
2019,orientation_vector,668,13.096390497334648,-0.059890273611308796,16.55917911804616,0.3740045598039888
2019,climate_full,668,13.081885980595773,-0.07439479035018537,16.52128376386554,0.5419949615746655
2019,joint_core,668,13.062877777101363,-0.09340299384459444,16.513731456819297,-0.03624818727599522
2019,joint_interactions,668,13.063574756282643,-0.09270601466331625,16.43202578295678,-0.14909112208335268
2020,baseline,398,14.36394612106886,0.0,18.021828343946787,-0.6102239988979912
2020,orientation_crosswind,398,14.480648547643396,0.11670242657453511,18.140829734052904,-0.4599776037414513
2020,orientation_vector,398,14.35218906494175,-0.011757056127110118,17.974136514068697,-0.18776447113673272
2020,climate_full,398,14.111340225714882,-0.2526058953539801,17.86316335097248,-0.6980190557534401
2020,joint_core,398,14.262969431502059,-0.10097668956680206,18.042841155072317,-0.2503806184332393
2020,joint_interactions,398,14.238035594320401,-0.12591052674846118,17.90301359388752,-0.3130480571733512
2021,baseline,669,12.648602268956669,0.0,16.111331058748167,-1.3121644243424149
2021,orientation_crosswind,669,12.710725569233514,0.062123300276842576,16.086126202845417,-0.9896636084765843
2021,orientation_vector,669,12.686425941664497,0.03782367270782733,16.069720350488645,-1.329760370448917
2021,climate_full,669,12.654761022797995,0.006158753841326231,16.074269060582562,-0.6201477566921335
2021,joint_core,669,12.570008850600424,-0.07859341835624604,15.986385517597746,-0.8216770889832692
2021,joint_interactions,669,12.692388457766212,0.043786188809539904,16.074776997357684,-0.2940457519688146
2022,baseline,700,12.160980911858092,0.0,15.535058300052453,0.2470844630285964
2022,orientation_crosswind,700,12.148899563179324,-0.012081348678767553,15.467008436265319,0.04517417313658021
2022,orientation_vector,700,12.201870811464739,0.04088989960664622,15.548597577677207,0.06611443735707177
2022,climate_full,700,12.29056775561802,0.12958684375992705,15.600920389152956,0.07968047714234004
2022,joint_core,700,12.221031012232736,0.06005010037464152,15.508881869967468,0.310277897016156
2022,joint_interactions,700,12.24864952513139,0.08766861327329725,15.56381364200414,0.36233602164258766
2023,baseline,708,13.090053442149776,0.0,16.329789707399904,-1.109539207427107
2023,orientation_crosswind,708,13.027181534966264,-0.06287190718351185,16.197131814008436,-1.011810539988347
2023,orientation_vector,708,13.01922525395056,-0.07082818819921699,16.185660378304792,-1.0890279825872426
2023,climate_full,708,12.99822635992179,-0.09182708222798472,16.20023525623739,-1.1098834844480763
2023,joint_core,708,12.996477892702858,-0.0935755494469187,16.17818864416462,-1.048611843812975
2023,joint_interactions,708,12.946240213414063,-0.14381322873571492,16.197853324720402,-1.2096032771629086
2024,baseline,691,12.82810261709058,0.0,16.376536009043697,-0.7332781680986659
2024,orientation_crosswind,691,12.79293578825261,-0.035166828837971585,16.365330434626777,-0.6397405369348322
2024,orientation_vector,691,12.823925376647948,-0.004177240442634216,16.432582605504784,-0.815320721697965
2024,climate_full,691,12.849060677611435,0.020958060520854124,16.385420177788877,-0.7621941090103552
2024,joint_core,691,12.804207407960087,-0.02389520913049231,16.400507966718912,-0.9590720235873481
2024,joint_interactions,691,12.837347122726085,0.009244505635500763,16.452617932941344,-0.9159530789830722
2025,baseline,704,12.396923759230674,0.0,15.41222410340725,0.10404471257245279
2025,orientation_crosswind,704,12.380052726554611,-0.016871032676064303,15.369695369043555,0.1052976190486581
2025,orientation_vector,704,12.386917399525714,-0.010006359704961268,15.380453113794598,0.10287310496509473
2025,climate_full,704,12.388069919764725,-0.008853839465948522,15.389184417818157,0.1434211901102906
2025,joint_core,704,12.379018600001457,-0.017905159229214998,15.367449131298107,0.14720471582385805
2025,joint_interactions,704,12.359751065242609,-0.037172693988062895,15.358596964283594,0.17326602853129774
