model,paired_games,test_seasons,mae,rmse,signed_projection_bias,mae_delta_vs_baseline,game_bootstrap_ci_low,game_bootstrap_ci_high,season_cluster_ci_low,season_cluster_ci_high,test_seasons_improved_vs_baseline,seasons_required_for_support,evidence_status,qualifiers,qualifier_wins,qualifier_losses,qualifier_pushes,qualifier_hit_rate,qualifier_roi_per_1u
baseline,6521,10,13.127261400122531,16.638381896968713,-0.3278403780197791,0.0,0.0,0.0,0.0,0.0,0,7,REFERENCE,609,356,246,7,0.5913621262458472,0.12748171368861022
orientation_crosswind,6521,10,13.099086325788727,16.599884675924585,-0.29692545292964245,-0.028175074333803594,-0.08475918092243122,0.028224166846343816,-0.07622686469340478,0.02640179579993648,7,7,NOT_PROVEN,599,335,257,7,0.5658783783783784,0.07937471543481563
orientation_vector,6521,10,13.110301591789204,16.619843195176568,-0.3298579031125381,-0.016959808333324528,-0.07353584956534062,0.0405224696778916,-0.06121099927641317,0.02780443087831145,7,7,NOT_PROVEN,605,345,252,8,0.5778894472361809,0.10187828700225393
climate_full,6521,10,13.110282709861245,16.61504597010586,-0.2064618624755593,-0.01697869026128538,-0.08124866558985992,0.047715539258258104,-0.0915177377749729,0.030895825679223155,6,7,NOT_PROVEN,576,344,225,7,0.6045694200351494,0.15230429292929287
joint_core,6521,10,13.068745800618712,16.59467205877973,-0.29807781143259665,-0.058515599503817295,-0.12344124462848899,0.0081537510468649,-0.11349659675471346,-0.012580616077720813,8,7,NOT_PROVEN,582,347,228,7,0.6034782608695652,0.1502655420181193
joint_interactions,6521,10,13.101358750614738,16.612967122419047,-0.25114408987940057,-0.02590264950779324,-0.10062177716560636,0.0470019220541957,-0.08623365569967184,0.02745293427441614,5,7,NOT_PROVEN,607,333,266,8,0.5559265442404007,0.06050621536618236
