challenger,reference,paired_games,mae_delta_challenger_minus_reference,game_bootstrap_ci_low,game_bootstrap_ci_high,season_cluster_ci_low,season_cluster_ci_high,test_seasons_improved,test_seasons,seasons_required_for_support,incremental_evidence_status
orientation_crosswind,baseline,6521,-0.028175074333803594,-0.0840289307185966,0.027319756323277877,-0.07656795354462217,0.027212964977311856,7,10,7,NOT_PROVEN
orientation_vector,orientation_crosswind,6521,0.011215266000479071,-0.04303519555098688,0.0655054336281397,-0.03792936430430192,0.05037552003377265,5,10,7,NOT_PROVEN
climate_full,baseline,6521,-0.01697869026128538,-0.08254745627675589,0.047188289700278156,-0.09329771140353653,0.030731190024426123,6,10,7,NOT_PROVEN
joint_core,orientation_vector,6521,-0.04155579117049277,-0.10703775300290702,0.022891571359097192,-0.07440370747438937,-0.013947185267252101,8,10,7,NOT_PROVEN
joint_core,climate_full,6521,-0.04153690924253192,-0.09865531348011151,0.01504059382259542,-0.08338632724085752,0.017221054715931924,9,10,7,NOT_PROVEN
joint_interactions,joint_core,6521,0.03261294999602406,-0.03198123435857192,0.09711967871620211,-0.0015021609207121862,0.0637931533187669,3,10,7,NOT_PROVEN
joint_interactions,baseline,6521,-0.02590264950779324,-0.10030381490310873,0.04721993302517258,-0.08596257863330921,0.025417168704313497,5,10,7,NOT_PROVEN
