model,paired_games,mae,rmse,signed_projection_bias,mae_delta_vs_baseline,mae_delta_ci_low,mae_delta_ci_high,test_seasons_improved_vs_baseline,test_seasons_evaluated,qualifiers,qualifier_wins,qualifier_losses,qualifier_pushes,qualifier_hit_rate,qualifier_roi_per_1u
baseline,6837,13.118328569874791,16.625128574948448,-0.3556992647865212,0.0,0.0,0.0,0,10,644,376,261,7,0.5902668759811617,0.12549407114624506
latitude_only,6837,13.100723568003561,16.61881684025563,-0.43447064955237485,-0.01760500187123047,-0.06752609170693065,0.03429808774830672,6,10,670,393,269,8,0.5936555891238671,0.13175033921302576
local_weather_context,6837,13.102863285759774,16.5961151810163,-0.22702686091601987,-0.015465284115015077,-0.0756436124404138,0.044267839748662725,5,10,615,335,272,8,0.5518945634266886,0.05291943828529197
full_latitude_context,6837,13.105766591986816,16.604477163201228,-0.22906974471936975,-0.012561977887975532,-0.076018627235214,0.05059762037761104,5,10,617,363,247,7,0.5950819672131148,0.13452188006482982
